,Name,Birthdate
85,Sylvia Plath,1932-10-27
86,Ken Follett,1949-06-05
87,Dr. Seuss,1904-03-02
88,Barbara Kingsolver,1955-04-08
89,Sophie Kinsella,1970-12-12
90,Tracy Chevalier,1962-10-19
91,Ken Kesey,1935-09-17
92,Hermann Hesse,1877-07-02
93,David Sedaris,1956-12-26
94,Anthony Burgess,1917-02-25
95,John Boyne,1971-04-30
96,Amy Tan,1952-02-19
97,Stephen R. Covey,1932-10-24
98,Terry Pratchett,1948-04-28
99,Jeffrey Eugenides,1960-03-08
100,Alice Walker,1944-02-09
101,William Paul Young,1955-05-11
102,Truman Capote,1924-09-30
103,Frank McCourt,1930-08-19
104,Gregory Maguire,1954-06-09
105,Kim Edwards,1958-05-04
106,Jeff Kinney,1971-02-19
107,Kami Garcia,1972-03-25
108,Anita Diamant,1951-06-27
109,Carlos Ruiz Zafón,1964-09-25
110,Emily Giffin,1972-03-20
111,Chuck Palahniuk,1962-02-21
112,Viktor E. Frankl,1905-03-26
113,Laurie Halse Anderson,1961-10-23
114,Anne Rice,1941-10-04
115,Janet Evanovich,1943-04-22
116,Herman Melville,1819-08-01
117,Thomas  Harris,1940-09-22
118,Lewis Carroll,1832-01-27
119,Brandon Sanderson,1975-12-19
120,Katherine Paterson,1932-10-31
121,John Green,1977-08-24
122,Robert T. Kiyosaki,1947-04-08
123,Max Brooks,1972-05-22
124,Philippa Gregory,1954-01-09
125,Maya Angelou,1928-04-04
126,P.C. Cast,1960-04-30
127,Robert Louis Stevenson,1850-11-13
128,H.G. Wells,1866-09-21
129,Robert Jordan,1948-10-17
130,John Grogan,1957-03-20
131,Richard  Adams,1920-05-09
132,Tatiana de Rosnay,1961-09-28
133,Eric Carle,1929-06-25
134,James Patterson,1947-03-22
135,Donna Tartt,1963-12-23
136,Betty  Smith,1896-12-15
137,Robert Ludlum,1927-05-25
138,L. Frank Baum,1856-05-15
139,Rhonda Byrne,1951-03-12
140,Dave Pelzer,1960-12-29
141,Jonathan Safran Foer,1977-02-21
142,Cornelia Funke,1958-12-10
143,Philip K. Dick,1928-12-16
144,Milan Kundera,1929-04-01
145,Erich Maria Remarque,1898-06-22
146,Patrick Süskind,1949-03-26
147,Arthur Conan Doyle,1859-05-22
148,Jack London,1876-01-12
149,Jack Kerouac,1922-03-12
150,Bill Bryson,1951-12-08
151,Augusten Burroughs,1965-10-23
152,Haruki Murakami,1949-01-12
153,Mario Puzo,1920-10-15
154,Wilson Rawls,1913-09-24
155,Ayn Rand,1905-02-02
156,Toni Morrison,1931-02-18
157,Stephen Hawking,1942-01-08
158,Cecelia Ahern,1981-09-30
159,Arthur  Miller,1915-10-17
160,E.H. Gombrich,1909-03-30
161,Tom Clancy,1947-04-12
162,Lisa See,1955-02-18
163,Jared Diamond,1937-09-10
164,Abraham   Verghese,1955-05-30
165,Tana French,1973-05-10
166,Richelle Mead,1976-11-12
167,Gary Paulsen,1939-05-17
168,David McCullough,1933-07-07
169,Laura Esquivel,1950-09-30
170,André Aciman,1951-01-02
171,Janet Fitch,1955-11-09
172,Colleen McCullough,1937-06-01
173,Wally Lamb,1950-10-17
174,Umberto Eco,1932-01-05
175,Randy Pausch,1960-10-23
176,Chinua Achebe,1930-11-16
177,Frances Mayes,1940-03-23
178,Jim Butcher,1971-10-26
179,Hunter S. Thompson,1937-07-18
180,Jerry Spinelli,1941-02-01
181,J.M. Barrie,1860-05-09
182,John Berger,1926-11-05
183,John Irving,1942-03-02
184,A.A. Milne,1882-01-18
185,Zora Neale Hurston,1891-01-07
186,Kristin Hannah,1960-09-25
187,Diane Setterfield,1964-08-22
188,Jennifer Weiner,1970-03-28
189,Robert A. Heinlein,1907-07-07
190,Niccolò Machiavelli,1469-05-03
191,Gustave Flaubert,1821-12-12
192,Fannie Flagg,1944-09-21
193,Arthur C. Clarke,1917-12-16
194,Tennessee Williams,1911-03-26
195,Art Spiegelman,1948-02-15
196,Lee Child,1954-10-29
197,Laura Joffe Numeroff,1953-07-14
198,Laura Ingalls Wilder,1867-02-07
199,Julia Quinn,1970-01-12
200,Ursula K. Le Guin,1929-10-21
201,Eckhart Tolle,1948-02-16
202,Napoleon Hill,1883-10-26
203,Robin Hobb,1952-03-05
204,Arundhati Roy,1961-11-24
205,Norton Juster,1929-06-02
206,Butch Patrick,1953-08-02
207,Andrzej Sapkowski,1948-06-21
208,Diana Wynne Jones,1934-08-16
209,Kahlil Gibran,1883-01-06
210,Bret Easton Ellis,1964-03-07
211,Jeanne DuPrau,1946-06-09
212,Dean Koontz,1945-07-09
213,Anthony Bourdain,1956-06-25
214,Ann Patchett,1963-12-02
215,Thomas Hardy,1840-06-02
216,Anna Sewell,1820-03-30
217,Elizabeth Kostova,1964-12-26
218,Scott Lynch,1978-04-02
219,Neal Stephenson,1959-10-31
220,Beatrice Sparks,1917-01-15
221,Charlaine Harris,1951-11-25
222,Natalie Babbitt,1932-07-18
223,Rick Warren,1954-01-28
224,Jonathan Swift,1667-11-30
225,Richard Dawkins,1941-03-26
226,John Kennedy Toole,1937-12-17
227,Jhumpa Lahiri,1967-07-11
228,Alexander McCall Smith,1948-08-24
229,Jean M. Auel,1936-02-18
230,Sherman Alexie,1966-10-07
231,Junot Díaz,1968-12-31
232,Meg Cabot,1967-02-01
233,John Berendt,1939-12-05
234,Voltaire,1694-11-21
235,Billie Letts,1938-05-30
236,Sarah Dessen,1970-06-06
237,Kazuo Ishiguro,1954-11-08
238,Malcolm X,1925-05-19
239,Alex Haley,1921-08-11
240,James Frey,1969-09-12
241,José Saramago,1922-11-16
242,Terry Goodkind,1948-01-11
243,Pearl S. Buck,1892-06-26
244,Edgar Allan Poe,1809-01-19
245,Ray Bradbury,1920-08-22
246,Charles Frazier,1950-11-04
247,Ned Vizzini,1981-04-04
248,Kate DiCamillo,1964-03-25
249,P.D. Eastman,1909-11-25
250,Jostein Gaarder,1952-08-08
251,Beatrix Potter,1866-07-28
252,Richard Bach,1936-06-23
253,Chris Van Allsburg,1949-06-18
254,Frank Miller,1957-01-27
255,Jules Verne,1828-02-08
256,Robert Munsch,1945-06-11
257,Isabel Allende,1942-08-02
258,Libba Bray,1964-03-11
259,Howard Zinn,1922-08-24
260,Susanna Clarke,1959-11-01
261,Tim LaHaye,1926-04-27
262,Patti Smith,1946-12-30
263,Robert Kirkman,1978-11-30
264,Robert M. Pirsig,1928-09-06
265,Shirley Jackson,1916-12-14
266,Gaston Leroux,1868-05-06
267,Barack Obama,1961-08-04
268,Dan Simmons,1948-04-04
269,Harriet Beecher Stowe,1811-06-14
270,Michael Connelly,1956-07-21
271,Neal Shusterman,1962-11-12
272,Eric Schlosser,1959-08-17
273,Ludwig Bemelmans,1898-04-27
274,John Knowles,1926-09-16
275,William Peter Blatty,1928-01-07
276,Susanna Kaysen,1948-11-11
277,Judy Blume,1938-02-12
278,Pat Conroy,1945-10-26
279,E.L. Konigsburg,1930-02-10
280,Jeff Lindsay,1952-07-14
281,Marion Zimmer Bradley,1930-06-03
282,Garth Nix,1963-07-19
283,Michael Pollan,1955-02-06
284,Kenneth Grahame,1859-03-08
285,Joe Abercrombie,1974-12-31
286,Sara Shepard,1977-04-08
287,Chuck Dixon,1954-04-14
288,Mary Roach,1959-03-20
289,Michael Chabon,1963-05-24
290,Patricia Briggs,1965-12-21
291,Oliver Sacks,1933-07-09
292,Alan Moore,1953-11-18
293,Ellen Raskin,1928-03-13
294,Gregory David Roberts,1952
295,Bernhard Schlink,1944-07-06
296,Nick Hornby,1957-04-17
297,Barbara Ehrenreich,1941-08-26
298,Kate Chopin,1850-02-08
299,Johanna Spyri,1827-06-12
300,Victor Hugo,1802-02-26
301,Ally Carter,1974-01-01
302,Kenneth Branagh,1960-12-10
303,Michael Ende,1929-11-12
304,Jon Scieszka,1954-09-08
305,V.C. Andrews,1923-06-06
306,Lionel Shriver,1957-05-18
307,Marjane Satrapi,1969-11-22
308,Bryan Lee O'Malley,1979-02-21
309,Richard P. Feynman,1918-05-11
310,Patrick Ness,1971-10-17
311,Scott Westerfeld,1963-05-05
312,Dennis Lehane,1965-08-04
313,Judith Viorst,1931-02-02
314,Joan Didion,1934-12-05
315,J.D. Robb,1950-10-10
316,Samuel Beckett,1906-04-13
317,Aravind Adiga,1974-10-23
318,Ishmael Beah,1980-11-23
319,Dave Eggers,1970-03-12
320,David Guterson,1956-05-04
321,Alex Flinn,1966-10-23
322,John Scalzi,1969-05-10
323,Doris Kearns Goodwin,1943-01-04
324,Henry David Thoreau,1817-07-12
325,Sue Grafton,1940-04-24
326,Jeffery Deaver,1950-05-06
327,Robert C. O'Brien,1966-06-18
328,Ralph Ellison,1913-03-01
329,Irma S. Rombauer,1877-10-30
330,Jonathan Franzen,1959-08-17
331,William Faulkner,1897-09-25
332,Natsuki Takaya,1973-07-07
333,Kelley Armstrong,1968-12-14
334,Marcus Aurelius,121-04-26
335,Francis Chan,1967-08-31
336,Larry McMurtry,1936-06-03
337,E.M. Forster,1879-01-01
338,Caleb Carr,1955-08-02
339,Melissa Marr,1972-07-25
340,Bisco Hatori,1975-08-30
341,Sharon Creech,1945-07-29
342,Chelsea Handler,1975-02-25
343,James C. Collins,1958-01-25
344,Irvine Welsh,1958-09-27
345,Tite Kubo,1977-06-26
346,Julie Powell,1973-04-20
347,Brent Weeks,1977-03-07
348,Laura Hillenbrand,1967-05-15
349,Elizabeth Gaskell,1810-09-29
350,Alison Bechdel,1960-09-10
351,Chris Bohjalian,1962-08-12
352,Thomas Keneally,1935-10-07
353,Matthew Quick,1973-10-23
354,Edith Wharton,1862-01-24
355,Eoin Colfer,1965-05-14
356,Virginia Woolf,1882-01-25
357,Joe Haldeman,1943-06-09
358,Jacob Grimm,1785-01-04
359,John Milton,1606-12-09
360,Sandra Cisneros,1954-12-20
361,Jeaniene Frost,1974-06-13
362,Peter Benchley,1940-05-08
363,Brandon Mull,1974-11-08
364,Tess Gerritsen,1953-06-12
365,Mark Z. Danielewski,1966-03-05
366,George Eliot,1819-11-22
367,Elizabeth George Speare,1908-11-21
368,Bill Watterson,1958-07-05
369,Wilkie Collins,1824-01-08
370,Helen Keller,1880-06-27
371,Raymond Chandler,1888-07-23
372,Trenton Lee Stewart,1970-05-27
373,Laurell K. Hamilton,1963-02-19
374,Shannon Hale,1974-01-26
375,Zadie Smith,1975-10-25
376,Melissa de la Cruz,1971-09-07
377,James Joyce,1882-02-02
378,Annie Proulx,1935-08-22
379,Marcus Pfister,1960-07-30
380,Jon Ronson,1967-05-10
381,Upton Sinclair,1878-09-20
382,Vincent Bugliosi,1934-08-18
383,Crockett Johnson,1906-10-20
384,Sam McBratney,1943-03-01
385,Ellen Hopkins,1955-03-26
386,Karl Marx,1818-05-05
387,David Benioff,1970-09-25
388,Carl Sagan,1934-11-09
389,James Herriot,1916-10-03
390,Anne McCaffrey,1926-04-01
391,Chimamanda Ngozi Adichie,1977-09-15
392,Michael Cunningham,1952-11-06
393,Emmuska Orczy,1865-09-23
394,Nicole Krauss,1974-08-18
395,Andre Dubus III,1959-09-11
396,Sylvia Nasar,1947-08-17
397,Jasper Fforde,1961-01-11
398,Frederick Forsyth,1938-08-25
399,Gertrude Chandler Warner,1890-04-16
400,Willa Cather,1873-12-07
401,Friedrich Nietzsche,1844-10-15
402,Robert B. Cialdini,1945-04-27
403,Richard Matheson,1926-02-20
404,Liane Moriarty,1966-11-15
405,Tamora Pierce,1954-12-13
406,Charlotte Perkins Gilman,1860-07-03
407,P.L. Travers,1899-08-09
408,Ira Levin,1929-08-27
409,Jon Stone,1931-04-13
410,William Makepeace Thackeray,1811-07-18
411,Jonathan Stroud,1970-10-27
412,Michael Ondaatje,1943-09-12
413,Henrik Ibsen,1828-03-20
414,John Bunyan,1628-11-30
415,Alan Brennert,1954-05-30
416,Mildred D. Taylor,1943-09-13
417,Margaret Peterson Haddix,1964-04-09
418,William L. Shirer,1904-02-23
419,Carol S. Dweck,1946-10-17
420,Angie Sage,1952-06-20
421,Michael   Lewis,1960-10-15
422,Peter V. Brett,1973-02-08
423,Ilona Andrews,1976-12-11
424,Clement C. Moore,1779-07-15
425,Scott McCloud,1960-06-10
426,Lee Strobel,1952-01-25
427,Kenneth H. Blanchard,1939-05-06
428,Charles Bukowski,1920-08-16
429,Dan Ariely,1967-04-29
430,Larry Niven,1938-04-30
431,Salman Rushdie,1947-06-19
432,Margaret Weis,1948-03-16
433,Andrew Clements,1949-05-29
434,Stephen E. Ambrose,1936-01-10
435,Brian Jacques,1939-06-15
436,Brian K. Vaughan,1976-07-17
437,Ezra Jack Keats,1916-03-11
438,Simon Winchester,1944-09-28
439,D.H. Lawrence,1885-09-11
440,Sebastian Junger,1962-01-17
441,Eiichiro Oda,1975-01-01
442,Charles Darwin,1809-02-12
443,Craig Thompson,1975-09-21
444,Hans Christian Andersen,1805-04-02
445,Dalai Lama XIV,1935-07-06
446,Benjamin Graham,1894-05-09
447,Richard   Preston,1954-08-05
448,Richard Preston,1954-08-05
449,Patricia Cornwell,1956-06-09
450,T.H. White,1906-05-29
451,Octavia E. Butler,1947-06-22
452,Christopher Paul Curtis,1953-05-10
453,Hiro Mashima,1977-05-03
454,Lynne Truss,1955-05-31
455,Jung Chang,1952-03-25
456,Johann Wolfgang von Goethe,1749-08-28
457,Julia Cameron,1948-03-04
458,Steven Erikson,1959-10-07
459,Thomas L. Friedman,1953-07-20
460,Carl Hiaasen,1953-03-12
461,Lynne Reid Banks,1929-07-31
462,Peter S. Beagle,1939-04-20
463,Allen Ginsberg,1926-06-03
464,Anne Tyler,1941-10-25
465,Aleksandr Solzhenitsyn,1918-12-11
466,Rosamunde Pilcher,1924-09-22
467,Walter M. Miller Jr.,1923-01-23
468,Evelyn Waugh,1903-10-28
469,Douglas Preston,1956-05-20
470,Daniel Goleman,1946-03-07
471,Alice Hoffman,1952-03-16
472,David Eddings,1931-07-07
473,Carson McCullers,1917-02-19
474,Anne Brontë,1820-01-17
475,Christopher Hitchens,1949-04-13
476,David Baldacci,1960-08-05
477,Frank E. Peretti,1951-01-13
478,Nassim Nicholas Taleb,1960-09-12
479,Rachel Caine,1962-04-27
480,Gary Russell,1963-09-18
481,Dashiell Hammett,1894-05-27
482,Beverly Cleary,1916-04-12
483,Marilynne Robinson,1943-11-26
484,Nathaniel Philbrick,1956-06-11
485,Louise Fitzhugh,1928-10-05
486,John Wyndham,1903-07-10
487,Sarah Dunant,1950-08-08
488,Joyce Carol Oates,1938-06-16
489,Norman Vincent Peale,1898-05-31
490,Richard K. Morgan,1965-09-24
491,Jo Nesbø,1960-03-29
492,J.M. Coetzee,1940-02-09
493,Sarah Waters,1966-07-21
494,John le Carré,1931-10-19
495,Walt Whitman,1819-05-31
496,Jon   Stewart,1962-11-28
497,Don DeLillo,1936-11-20
498,James Fenimore Cooper,1789-09-15
499,Mark Bittman,1950-02-17
500,Louise Penny,1958-07-01
501,Dodie Smith,1896-05-03
502,Steve Martin,1945-08-14
503,Brian Greene,1962-02-09
504,Stefan Zweig,1881-11-28
505,Terry Brooks,1944-01-08
506,M. Scott Peck,1936-05-22
507,Esphyr Slobodkina,1908-09-22
508,Daniel Quinn,1935-10-11
509,Mo Willems,1968-02-11
510,Emily Dickinson,1830-12-10
511,Anne Lamott,1954-04-10
512,James Baldwin,1924-08-02
513,Chaim Potok,1929-02-17
514,Jan Brett,1949-12-01
515,Ayaan Hirsi Ali,1969-11-13
516,Patricia C. Wrede,1953-03-27
517,O. Henry,1862-09-11
518,Arnold Lobel,1933-05-22
519,Robert James Waller,1939-08-01
520,Steven Pressfield,1943-09-01
521,Holly Black,1971-11-10
522,Robert McCloskey,1914-09-15
523,Peggy Parish,1927-07-14
524,James Ellroy,1948-03-04
525,William Styron,1925-06-11
526,Julia Child,1912-08-15
527,Rudyard Kipling,1865-12-30
528,Bernard Cornwell,1944-02-23
529,Ian McEwan,1948-06-21
530,Vincent van Gogh,1853-03-30
531,Tom Stoppard,1937-07-03
532,Marcus Luttrell,1975-11-07
533,Norman Bridwell,1928-02-15
534,Bryce Courtenay,1933-08-14
535,Rachel Cohn,1968-12-14
536,Italo Calvino,1923-10-15
537,Kazu Kibuishi,1978-04-08
538,Gene Luen Yang,1973-08-09
539,Tony DiTerlizzi,1969-09-06
540,David Grann,1967-03-10
541,David Foster Wallace,1962-02-21
542,Yevgeny Zamyatin,1884-02-01
543,Maureen Johnson,1973-02-16
544,Louis de Bernières,1954-12-08
545,Eleanor H. Porter,1868-12-19
546,Lawrence Hill,1957-01-24
547,Tom Rob Smith,1979-02-19
548,Patricia MacLachlan,1938-03-03
549,Anna Quindlen,1952-07-08
550,Dave Ramsey,1960-09-03
551,Joseph Smith Jr.,1805-12-23
552,Tracy Kidder,1945-11-12
553,R.A. Salvatore,1959-01-20
554,William Strunk Jr.,1869-07-01
555,Alex Garland,1970-05-26
556,Lorraine Hansberry,1930-05-19
557,Janette Sebring Lowrey,1892-03-02
558,Michael Bond,1926-01-13
559,David Shannon,1959-10-05
560,Timothy Zahn,1951-09-01
561,Nelson Mandela,1918-07-18
562,Marian Keyes,1963-09-10
563,Thomas Pynchon,1937-05-08
564,Ivan Turgenev,1818-11-09
565,Ivan  Sergeyevich Turgenev,1818-11-09
566,Mark Skousen,1947-10-19
567,A.S. Byatt,1936-08-24
568,Peter David,1956-09-23
569,Tom Robbins,1932-07-22
570,Laurie R. King,1952-09-19
571,Jacqueline Carey,1964-10-09
572,Robin McKinley,1952-11-16
573,Anthony Kiedis,1962-11-01
574,Sherrilyn Kenyon,1965-12-11
575,Henry James,1843-04-15
576,Lloyd Alexander,1924-01-30
577,Megan Whalen Turner,1965-11-21
578,Tom Wolfe,1930-03-02
579,Maria V. Snyder,1973-04-15
580,Anne Fadiman,1953-08-07
581,Richard H. Thaler,1945-09-12
582,James A. Michener,1907-02-03
583,Władysław Szpilman,1911-12-05
584,John Eldredge,1960-06-06
585,Carlo Collodi,1826-11-24
586,Dave Barry,1947-07-03
587,Patricia Highsmith,1921-01-19
588,Kim Stanley Robinson,1952-03-23
589,Andrew Lang,1844-03-31
590,Nikolai Gogol,1809-03-20
591,Sebastian Faulks,1953-04-20
592,Karen Hesse,1952-08-29
593,Oswald Chambers,1874-07-24
594,Anna Godbersen,1980-04-10
595,Jane Hamilton,1957-07-13
596,David Sheff,1955-12-23
597,Lisa Kleypas,1964-11-05
598,David Levithan,1972-09-07
599,Peter Straub,1943-03-02
600,Walter Farley,1915-06-26
601,Philip Roth,1933-03-19
602,Garth Ennis,1970-01-16
603,Sarah Hardesty,1950-10-10
604,Nora Roberts,1950-10-10
605,Mohsin Hamid,1971-07-23
606,Alan Paton,1903-01-11
607,Kay Redfield Jamison,1946-06-22
608,Daniel Clowes,1961-04-14
609,Piers Paul Read,1941-03-07
610,Gail Carson Levine,1947-09-17
611,Peter Mayle,1939-06-14
612,Jean Craighead George,1919-07-02
613,Raymond E. Feist,1945-12-21
614,Henning Mankell,1948-02-03
615,Nalini Singh,1945-09-01
616,Mary Doria Russell,1950-08-19
617,Mike Mignola,1960-09-16
618,Richard Atwater,1896-09-13
619,Elizabeth Peters,1927-09-29
620,A.W. Tozer,1897-04-21
621,Mihaly Csikszentmihalyi,1934-09-29
622,Barbara W. Tuchman,1912-01-30
623,Paul Auster,1947-02-03
624,Camilla Läckberg,1974-08-30
625,Koushun Takami,1969-01-10
626,Edward Gorey,1925-02-22
627,Henry Miller,1891-12-26
628,Jeanette Winterson,1959-08-27
629,Jean-Dominique Bauby,1952-04-23
630,Sigmund Freud,1856-05-06
631,A.J. Jacobs,1968-03-20
632,Tad Williams,1957-03-14
633,John Howard Griffin,1920-06-16
634,Dava Sobel,1947-06-15
635,Joyce Meyer,1943-06-04
636,M.C. Escher,1898-06-17
637,John Fowles,1926-03-31
638,Eliyahu M. Goldratt,1947-03-31
639,John Elder Robison,1957-08-13
640,Deborah Howe,1946-08-12
641,Jennifer Worth,1935-09-25
642,Mark Kurlansky,1948-12-07
643,Edward Albee,1928-03-12
644,Grant Morrison,1960-01-31
645,Deepak Chopra,1946-10-22
646,Stendhal,1783-01-23
647,Greg Behrendt,1963-07-21
648,Rainer Maria Rilke,1875-12-04
649,James W. Loewen,1942-02-06
650,Sidney Sheldon,1917-02-11
651,Anthony Robbins,1960-02-29
652,Tony Robbins,1960-02-29
653,Jane Smiley,1949-09-26
654,Mary Karr,1955-01-16
655,Jerome K. Jerome,1859-05-02
656,Katherine Dunn,1945-10-24
657,Tom Schulman,1951-10-20
658,Henri Charrière,1906-11-16
659,Winston Groom,1943-03-23
660,Mahatma Gandhi,1869-10-02
661,Ann-Marie MacDonald,1958-10-29
662,Susan Elizabeth Phillips,1944-12-11
663,David Seltzer,1940-02-12
664,Edwin A. Abbott,1838-12-20
665,Nelson DeMille,1943-08-23
666,Cecily von Ziegesar,1970-06-27
667,Raina Telgemeier,1977-05-26
668,Julia Alvarez,1950-03-27
669,Helene Hanff,1916-04-15
670,Primo Levi,1919-07-31
671,Howard Pyle,1853-03-05
672,Maeve Binchy,1939-05-28
673,Robert Graves,1895-07-24
674,Rumiko Takahashi,1957-10-10
675,Eknath Easwaran,1910-12-17
676,Prabhavananda,1893-12-26
677,J. Sheridan Le Fanu,1814-08-28
678,M.T. Anderson,1968-11-04
679,Julie Garwood,1944-12-26
680,Robert Penn Warren,1905-04-24
681,Pablo Neruda,1904-07-12
682,Juliet Marillier,1948-08-07
683,Washington Irving,1783-04-03
684,Dai Sijie,1954-03-02
685,Clarissa Pinkola Estés,1945-01-27
686,Derek Landy,1974-10-23
687,John Jakes,1932-03-31
688,Nora Ephron,1941-05-19
689,William S. Burroughs,1914-02-05
690,Nick Bantock,1949-07-14
691,James Rollins,1961-08-20
692,Timothy J. Keller,1950-09-23
693,Simms Taback,1932-02-13
694,Tami Hoag,1959-01-20
695,Graham Greene,1904-10-02
696,Daniel J. Levitin,1957-12-27
697,Jean de Brunhoff,1899-12-09
698,Daniel Todd Gilbert,1957-11-05
699,Clive Cussler,1931-07-15
700,Karin Slaughter,1971-01-06
701,Mark Waid,1962-03-21
702,Else Holmelund Minarik,1920-09-13
703,Roland Barthes,1915-11-12
704,Caroline B. Cooney,1947-05-10
705,Jane Yolen,1939-02-11
706,Paramahansa Yogananda,1893-01-05
707,Frank W. Abagnale,1948-04-28
708,Wallace Stegner,1909-02-18
709,Tucker Max,1975-09-27
710,Hayden Herrera,1940-11-20
711,Jorge Luis Borges,1899-08-24
712,Ernesto Sabato,1911-06-24
713,Erich Segal,1937-06-16
714,Jacqueline Susann,1918-08-20
715,E. Nesbit,1858-08-15
716,Susan         Hill,1942-02-05
717,Robin Cook,1946-02-28
718,Jack Higgins,1929-07-27
719,Vernor Vinge,1944-10-02
720,Anthony Horowitz,1955-04-05
721,Samuel Taylor Coleridge,1772-10-21
722,H.G. Bissinger,1954-11-01
723,Ben Sherwood,1964-02-12
724,Claire  Morgan,1980-08-17
725,Herman Wouk,1915-05-27
726,Connie Willis,1945-12-31
727,Nicholas Evans,1950-07-26
728,Roger Zelazny,1937-05-13
729,Kevin Henkes,1960-11-27
730,Gabrielle Zevin,1977-10-24
731,Raymond Carver,1938-05-25
732,Edgar Rice Burroughs,1875-09-01
733,Stormie Omartian,1942-09-16
734,Gene Zion,1913-10-05
735,Bob Dylan,1941-05-24
736,T. Harv Eker,1954-06-10
737,Susan Cooper,1935-05-23
738,Betty MacDonald,1907-03-26
739,Nevil Shute,1899-01-17
740,Mark Millar,1969-12-24
741,W. Somerset Maugham,1874-01-25
742,Marcel Proust,1871-07-10
743,Gerard Way,1977-04-09
744,Pseudonymous Bosch,1967-10-25
745,David Wilkerson,1931-05-19
746,Virginia Lee Burton,1909-08-30
747,Arkady Strugatsky,1925-08-28
748,Max Lucado,1955-01-11
749,J.I. Packer,1926-07-22
750,Arlene Eisenberg,1934-06-08
751,Heidi Murkoff,1958-11-28
752,Carl Bernstein,1944-02-14
753,Gordon Korman,1963-10-23
754,Mary E. Pearson,1955-08-14
755,Adam Hochschild,1942-10-05
756,Orhan Pamuk,1952-06-07
757,Honoré de Balzac,1799-05-20
758,Ina Garten,1948-02-02
759,Vince Flynn,1966-04-06
760,Timothy Egan,1954-11-08
761,Sheila Burnford,1918-05-11
762,Åsne Seierstad,1970-02-10
763,Jon Meacham,1969-05-20
764,Mollie Katzen,1950-10-13
765,Dan Millman,1946-02-22
766,Dorothy L. Sayers,1893-06-13
767,Brian L. Weiss,1944-11-06
768,Charles Portis,1933-12-28
769,Edith Hamilton,1867-08-12
770,Judith McNaught,1944-05-10
771,Alastair Reynolds,1966-03-13
772,Cory Doctorow,1971-07-17
773,William Gibson,1948-03-17
774,Giada De Laurentiis,1970-08-22
